W_REGN,W_PROV,SEQ_NO,FSIZE,TOINC,COFFEE,COCOA,FOOD_OUTSIDE,TOTEX
13,74,110253,4.0,433300.0,759.0,0.0,29500.0,365635.0
13,74,110254,3.0,515020.0,8665.0,0.0,14000.0,333446.0
13,74,110255,5.0,340620.0,1183.0,0.0,6200.0,332260.0
13,74,110256,6.0,345900.0,10415.0,0.0,7600.0,354589.0
13,74,110257,7.0,335785.0,1157.0,0.0,33800.0,347288.0
13,74,110258,5.5,541740.0,1456.0,0.0,16250.0,297462.0
13,74,110259,6.5,485620.0,9544.0,0.0,19000.0,367912.0
13,74,110260,5.0,330900.0,1079.0,0.0,13400.0,267663.0
13,74,110261,4.5,566713.0,13665.0,103.0,9800.0,515984.0
13,74,110262,6.5,680231.0,5018.0,702.0,21800.0,498257.0
13,74,110263,4.0,348696.0,2860.0,0.0,18300.0,375366.0
13,74,110264,2.5,253084.0,1612.0,283.0,6100.0,224489.0
13,74,110265,5.0,527850.0,5110.0,0.0,21800.0,386542.0
13,74,110266,8.5,1752100.0,3296.0,2018.0,65500.0,880291.0
13,74,110267,2.5,230264.0,5110.0,0.0,24670.0,168504.0
13,74,110268,5.0,340529.0,5988.0,0.0,28000.0,280344.0
13,74,110269,8.0,350143.0,4224.0,732.0,20500.0,326307.0
13,74,110270,2.5,248178.0,2828.0,966.0,12950.0,194986.0
13,74,110271,3.0,198765.0,3230.0,0.0,7300.0,178750.0
13,74,110272,5.0,549370.0,5542.0,2710.0,21600.0,323773.0
13,74,110273,3.0,432944.0,3706.0,817.0,12350.0,248105.0
13,74,110274,4.0,674620.0,2996.0,267.0,24600.0,380961.0
13,74,110275,4.0,261217.0,247.0,4790.0,24800.0,265428.0
13,74,110276,4.5,385493.0,1900.0,2172.0,23100.0,400250.0
13,74,110277,2.0,433526.0,2786.0,0.0,16500.0,250854.0
13,74,110278,5.0,226622.0,1978.0,3755.0,20200.0,267592.0
13,74,110279,4.5,417648.0,1820.0,1086.0,36900.0,374390.0
13,74,110280,1.0,94435.0,2576.0,0.0,4500.0,97947.0
13,74,110281,2.0,273160.0,2470.0,1810.0,21500.0,208836.0
13,74,110282,3.0,725615.0,3031.0,0.0,12500.0,431295.0
13,74,110283,5.0,396750.0,1275.0,1417.0,30450.0,268053.0
13,74,110284,4.0,582220.0,3632.0,402.0,26600.0,303580.0
13,74,110285,11.0,1559272.0,1258.0,2374.0,72900.0,879602.0
13,74,110286,5.0,276426.0,3820.0,260.0,53000.0,242851.0
13,74,110287,4.5,324601.0,3014.0,720.0,6600.0,215107.75
13,74,110288,3.5,529766.0,2172.0,0.0,15000.0,311466.0
13,74,110289,1.5,411446.0,816.0,0.0,37700.0,187490.25
13,74,110290,7.0,429057.0,1820.0,1632.0,17800.0,277892.5
13,74,110291,4.0,257640.0,3548.0,672.0,8400.0,227648.0
13,74,110292,8.0,469025.0,16737.0,0.0,21000.0,337738.0
13,74,110293,4.0,695856.5,10950.0,780.0,3000.0,313815.5
13,74,110294,7.0,316794.0,5640.0,51.0,20000.0,233651.0
13,74,110295,2.0,190001.0,3885.0,0.0,2100.0,133438.0
13,74,110296,5.0,541555.0,5640.0,120.0,71000.0,316165.0
13,74,110297,6.0,197949.0,3371.0,195.0,1000.0,166311.0
13,74,110298,4.0,221020.0,5445.0,0.0,1000.0,194965.0
13,74,110299,2.0,379305.0,3006.0,0.0,6000.0,295935.0
13,74,110300,3.0,385000.0,3995.0,1810.0,46800.0,482115.0
13,74,110301,4.0,296308.0,10950.0,0.0,1600.0,197156.0
13,74,110302,4.0,510830.0,858.0,0.0,14000.0,342268.0
13,74,110303,4.0,651025.0,5932.0,0.0,13000.0,409476.0
13,74,110304,5.0,497286.0,2433.0,648.0,20800.0,357010.0
13,74,110305,2.0,512250.0,1843.0,0.0,22100.0,211123.0
13,74,110306,5.0,1118360.0,2340.0,1430.0,22700.0,830492.0
13,74,110307,4.0,411550.0,1023.0,0.0,41600.0,302151.0
13,74,110308,4.0,752320.0,3495.0,0.0,20400.0,333300.0
13,74,110309,3.0,1264306.0,2820.0,0.0,14300.0,371387.0
13,74,110310,2.0,191589.0,6132.0,0.0,3000.0,186484.0
13,74,110311,2.0,100960.0,2304.0,0.0,500.0,105499.0
13,74,110312,3.5,301050.0,6340.0,0.0,10600.0,280682.0
13,74,110313,3.0,269370.0,677.0,0.0,19100.0,220504.0
13,74,110314,6.0,486711.0,2250.0,0.0,34470.0,365860.5
13,74,110315,2.5,158283.0,3795.0,0.0,22750.0,139741.5
13,74,110316,6.0,166500.0,1860.0,0.0,12200.0,255368.0
13,74,110317,3.0,195851.0,3795.0,0.0,3240.0,189481.0
13,74,110318,3.0,393409.0,3855.0,0.0,15000.0,244712.0
13,74,110319,2.5,340420.0,2730.0,0.0,5080.0,222244.0
13,74,110320,5.0,1083900.0,6312.0,0.0,35000.0,612297.5
13,74,110321,6.0,384566.0,2146.0,0.0,19000.0,340320.5
13,74,110322,4.0,523991.0,2535.0,0.0,39000.0,271874.0
13,74,110323,4.0,751200.0,3430.0,0.0,20600.0,541672.44
13,74,110324,8.0,1412100.0,2988.0,0.0,51000.0,837941.5
13,74,110325,2.0,350350.0,1274.099976,0.0,5700.0,256057.35
13,74,110326,4.0,915000.0,1548.0,1044.0,18000.0,689797.0
13,74,110327,7.0,1164678.0,3660.0,0.0,25100.0,629336.5
13,74,110328,8.0,1166321.0,1908.0,0.0,16000.0,678280.0
13,74,110329,3.0,900780.0,2340.0,1440.0,11600.0,764024.28
13,74,110330,5.0,355292.0,2252.0,88.0,16400.0,267265.5
13,74,110331,2.0,614290.0,1578.0,0.0,3600.0,281404.5
13,74,110332,5.0,219880.0,1950.0,0.0,4000.0,200889.5
13,74,110333,3.0,202381.0,1308.0,0.0,2500.0,167900.25
13,74,110334,5.0,460337.0,1620.0,0.0,13500.0,455790.25
13,74,110335,5.0,537735.0,1500.0,0.0,28300.0,269461.5
13,74,110336,3.0,308063.0,1290.0,0.0,11400.0,195730.75
